Estado,Color,Link
Aguascalientes,,https://www.ags.gob.mx/
Baja California,,https://www.bajacalifornia.gob.mx/
Baja California Sur,,https://www.bcs.gob.mx/
Campeche,,https://www.campeche.gob.mx/
Chiapas,,https://www.chiapas.gob.mx/
Chihuahua,,https://www.chihuahua.gob.mx/
Ciudad de México,,https://www.cdmx.gob.mx/
Coahuila de Zaragoza,,
Colima,,
Durango,,
Guanajuato,,
Guerrero,,
Hidalgo,,
Jalisco,,
México,,
Michoacán de Ocampo,,
Morelos,,
Nayarit,,
Nuevo León,,
Oaxaca,,
Puebla,,
Querétaro,,
Quintana Roo,,
San Luis Potosí,,
Sinaloa,,
Sonora,,
Tabasco,,
Tamaulipas,,
Tlaxcala,,
Veracruz de Ignacio de la Llave,,
Yucatán,,
Zacatecas,,
